     class_id                                         class_name
249       250                 Chevrolet Malibu Hybrid Sedan 2010
250       251                      Chevrolet TrailBlazer SS 2009
251       252        Chevrolet Silverado 2500HD Regular Cab 2012
252       253  Chevrolet Silverado 1500 Classic Extended Cab ...
253       254                         Chevrolet Express Van 2007
254       255                   Chevrolet Monte Carlo Coupe 2007
255       256                        Chevrolet Malibu Sedan 2007
256       257         Chevrolet Silverado 1500 Extended Cab 2012
257       258          Chevrolet Silverado 1500 Regular Cab 2012
258       259                            Chrysler Aspen SUV 2009
259       260                  Chrysler Sebring Convertible 2010
260       261             Chrysler Town and Country Minivan 2012
261       262                            Chrysler 300 SRT-8 2010
262       263                Chrysler Crossfire Convertible 2008
263       264               Chrysler PT Cruiser Convertible 2008
264       265                           Daewoo Nubira Wagon 2002
265       266                           Dodge Caliber Wagon 2012
266       267                           Dodge Caliber Wagon 2007
267       268                         Dodge Caravan Minivan 1997
268       269                Dodge Ram Pickup 3500 Crew Cab 2010
269       270                Dodge Ram Pickup 3500 Quad Cab 2009
270       271                      Dodge Sprinter Cargo Van 2009
271       272                             Dodge Journey SUV 2012
272       273                         Dodge Dakota Crew Cab 2010
273       274                         Dodge Dakota Club Cab 2007
274       275                            Dodge Magnum Wagon 2008
275       276                         Dodge Challenger SRT8 2011
276       277                             Dodge Durango SUV 2012
277       278                             Dodge Durango SUV 2007
278       279                           Dodge Charger Sedan 2012
279       280                           Dodge Charger SRT-8 2009
280       281                         Eagle Talon Hatchback 1998
281       282                               FIAT 500 Abarth 2012
282       283                          FIAT 500 Convertible 2012
283       284                              Ferrari FF Coupe 2012
284       285                Ferrari California Convertible 2012
285       286                Ferrari 458 Italia Convertible 2012
286       287                      Ferrari 458 Italia Coupe 2012
287       288                            Fisker Karma Sedan 2012
288       289                Ford F-450 Super Duty Crew Cab 2012
289       290                      Ford Mustang Convertible 2007
290       291                         Ford Freestar Minivan 2007
291       292                        Ford Expedition EL SUV 2009
292       293                                 Ford Edge SUV 2012
293       294                          Ford Ranger SuperCab 2011
294       295                                 Ford GT Coupe 2006
295       296                        Ford F-150 Regular Cab 2012
296       297                        Ford F-150 Regular Cab 2007
297       298                              Ford Focus Sedan 2007
298       299                       Ford E-Series Wagon Van 2012
299       300                             Ford Fiesta Sedan 2012
300       301                               GMC Terrain SUV 2012
301       302                                GMC Savana Van 2012
302       303                          GMC Yukon Hybrid SUV 2012
303       304                                GMC Acadia SUV 2012
304       305                       GMC Canyon Extended Cab 2012
305       306                         Geo Metro Convertible 1993
306       307                           HUMMER H3T Crew Cab 2010
307       308                        HUMMER H2 SUT Crew Cab 2009
308       309                         Honda Odyssey Minivan 2012
309       310                         Honda Odyssey Minivan 2007
310       311                            Honda Accord Coupe 2012
311       312                            Honda Accord Sedan 2012
312       313                    Hyundai Veloster Hatchback 2012
313       314                          Hyundai Santa Fe SUV 2012
314       315                            Hyundai Tucson SUV 2012
315       316                          Hyundai Veracruz SUV 2012
316       317                   Hyundai Sonata Hybrid Sedan 2012
317       318                         Hyundai Elantra Sedan 2007
318       319                          Hyundai Accent Sedan 2012
319       320                         Hyundai Genesis Sedan 2012
320       321                          Hyundai Sonata Sedan 2012
321       322             Hyundai Elantra Touring Hatchback 2012
322       323                           Hyundai Azera Sedan 2012
323       324                          Infiniti G Coupe IPL 2012
324       325                             Infiniti QX56 SUV 2011
325       326                            Isuzu Ascender SUV 2008
326       327                                 Jaguar XK XKR 2012
327       328                              Jeep Patriot SUV 2012
328       329                             Jeep Wrangler SUV 2012
329       330                              Jeep Liberty SUV 2012
330       331                       Jeep Grand Cherokee SUV 2012
331       332                              Jeep Compass SUV 2012
332       333                    Lamborghini Reventon Coupe 2008
333       334                   Lamborghini Aventador Coupe 2012
334       335    Lamborghini Gallardo LP 570-4 Superleggera 2012
335       336                      Lamborghini Diablo Coupe 2001
336       337                    Land Rover Range Rover SUV 2012
337       338                            Land Rover LR2 SUV 2012
338       339                        Lincoln Town Car Sedan 2011
339       340              MINI Cooper Roadster Convertible 2012
340       341                 Maybach Landaulet Convertible 2012
341       342                             Mazda Tribute SUV 2011
342       343                         McLaren MP4-12C Coupe 2012
343       344           Mercedes-Benz 300-Class Convertible 1993
344       345                   Mercedes-Benz C-Class Sedan 2012
345       346                  Mercedes-Benz SL-Class Coupe 2009
346       347                   Mercedes-Benz E-Class Sedan 2012
347       348                   Mercedes-Benz S-Class Sedan 2012
348       349                    Mercedes-Benz Sprinter Van 2012
349       350                       Mitsubishi Lancer Sedan 2012
350       351                         Nissan Leaf Hatchback 2012
351       352                       Nissan NV Passenger Van 2012
352       353                         Nissan Juke Hatchback 2012
353       354                            Nissan 240SX Coupe 1998
354       355                           Plymouth Neon Coupe 1999
355       356                        Porsche Panamera Sedan 2012
356       357                     Ram C/V Cargo Van Minivan 2012
357       358  Rolls-Royce Phantom Drophead Coupe Convertible...
358       359                       Rolls-Royce Ghost Sedan 2012
359       360                     Rolls-Royce Phantom Sedan 2012
360       361                            Scion xD Hatchback 2012
361       362                         Spyker C8 Convertible 2009
362       363                               Spyker C8 Coupe 2009
363       364                            Suzuki Aerio Sedan 2007
364       365                          Suzuki Kizashi Sedan 2012
365       366                          Suzuki SX4 Hatchback 2012
366       367                              Suzuki SX4 Sedan 2012
367       368                           Tesla Model S Sedan 2012
368       369                            Toyota Sequoia SUV 2012
369       370                            Toyota Camry Sedan 2012
370       371                          Toyota Corolla Sedan 2012
371       372                            Toyota 4Runner SUV 2012
372       373                     Volkswagen Golf Hatchback 2012
373       374                     Volkswagen Golf Hatchback 1991
374       375                   Volkswagen Beetle Hatchback 2012
375       376                           Volvo C30 Hatchback 2012
376       377                               Volvo 240 Sedan 1993
377       378                                Volvo XC90 SUV 2007
378       379                      smart fortwo Convertible 2012
